date,discharge_m3s,discharge_mm_day,station_id,station_name
1980-01-01,18.547504,0.7113705089892128,01013500,"Fish River Near Fort Kent, Maine"
1980-01-02,18.122752,0.695079581302437,01013500,"Fish River Near Fort Kent, Maine"
1980-01-03,17.698,0.6787886536156612,01013500,"Fish River Near Fort Kent, Maine"
1980-01-04,17.556416,0.6733583443867359,01013500,"Fish River Near Fort Kent, Maine"
1980-01-05,17.131664,0.65706741669996,01013500,"Fish River Near Fort Kent, Maine"
1980-01-06,16.565328,0.6353461797842589,01013500,"Fish River Near Fort Kent, Maine"
1980-01-07,16.140576,0.6190552520974829,01013500,"Fish River Near Fort Kent, Maine"
1980-01-08,15.715824,0.602764324410707,01013500,"Fish River Near Fort Kent, Maine"
1980-01-09,15.291072,0.5864733967239313,01013500,"Fish River Near Fort Kent, Maine"
1980-01-10,15.149488,0.581043087495006,01013500,"Fish River Near Fort Kent, Maine"
1980-01-11,15.007904,0.5756127782660807,01013500,"Fish River Near Fort Kent, Maine"
1980-01-12,14.86632,0.5701824690371554,01013500,"Fish River Near Fort Kent, Maine"
1980-01-13,14.724736,0.5647521598082301,01013500,"Fish River Near Fort Kent, Maine"
1980-01-14,14.86632,0.5701824690371554,01013500,"Fish River Near Fort Kent, Maine"
1980-01-15,14.86632,0.5701824690371554,01013500,"Fish River Near Fort Kent, Maine"
1980-01-16,15.149488,0.581043087495006,01013500,"Fish River Near Fort Kent, Maine"
1980-01-17,15.432656,0.5919037059528566,01013500,"Fish River Near Fort Kent, Maine"
1980-01-18,15.57424,0.5973340151817819,01013500,"Fish River Near Fort Kent, Maine"
1980-01-19,15.715824,0.602764324410707,01013500,"Fish River Near Fort Kent, Maine"
1980-01-20,15.432656,0.5919037059528566,01013500,"Fish River Near Fort Kent, Maine"
1980-01-21,15.291072,0.5864733967239313,01013500,"Fish River Near Fort Kent, Maine"
1980-01-22,15.291072,0.5864733967239313,01013500,"Fish River Near Fort Kent, Maine"
1980-01-23,15.149488,0.581043087495006,01013500,"Fish River Near Fort Kent, Maine"
1980-01-24,14.724736,0.5647521598082301,01013500,"Fish River Near Fort Kent, Maine"
1980-01-25,14.583152,0.5593218505793048,01013500,"Fish River Near Fort Kent, Maine"
1980-01-26,14.299984,0.5484612321214543,01013500,"Fish River Near Fort Kent, Maine"
1980-01-27,14.016816,0.5376006136636037,01013500,"Fish River Near Fort Kent, Maine"
